Kecamatan,Tahun,Total_Populasi,Total_Warga_Rentan,Total_Bantuan_PIP,Total_Pra_Sekolah,SD,Rasio_Warga_Rentan,Status_Resiko
SUMUR BANDUNG,2025,39593,10058.0,522.0,19.0,13.0,25.403480413204356,Sedang
ANTAPANI,2022,78429,19491.0,2399.0,29.0,13.0,24.85177676624718,Sedang
SUKAJADI,2024,106337,27495.0,2992.0,30.0,19.0,25.856475168567854,Sedang
COBLONG,2020,112443,28863.0,2739.0,0.0,20.0,25.669005629518953,Sedang
BABAKAN CIPARAY,2025,147866,43112.0,3049.0,48.0,18.0,29.156127845481723,Tinggi
SUKAJADI,2025,107344,28036.0,2629.0,36.0,20.0,26.11790132657624,Sedang
SUKAJADI,2022,103912,27934.0,3393.0,25.0,21.0,26.88236199861421,Sedang
UJUNG BERUNG,2024,91270,28766.0,1946.0,69.0,9.0,31.517475621781525,Tinggi
BUAHBATU,2025,108789,28227.0,670.0,43.0,13.0,25.9465570967653,Sedang
REGOL,2019,77997,20686.0,2336.0,10.0,21.0,26.521532879469724,Sedang
BATUNUNGGAL,2018,118991,32431.0,1185.0,3.0,16.0,27.255002479179097,Tinggi
ASTANAANYAR,2022,74609,19140.0,1567.0,23.0,14.0,25.65374150571647,Sedang
CIBEUNYING KIDUL,2019,110488,30466.0,1978.0,17.0,15.0,27.574035189341828,Tinggi
SUMUR BANDUNG,2019,37186,8206.0,1183.0,3.0,15.0,22.067444737266715,Rendah
BANDUNG KIDUL,2025,64327,14173.0,713.0,29.0,9.0,22.03273897430317,Rendah
SUKASARI,2018,73661,20791.0,1926.0,4.0,21.0,28.225248096007384,Tinggi
BUAHBATU,2018,102914,27343.0,3378.0,5.0,12.0,26.568785587966655,Sedang
BANDUNG KIDUL,2025,61704,14122.0,712.0,31.0,9.0,22.88668481784001,Rendah
CICENDO,2021,95171,22783.0,4273.0,41.0,28.0,23.93901503609293,Rendah
KIARACONDONG,2019,136084,35604.0,1764.0,14.0,15.0,26.163252108991504,Sedang
CIBEUNYING KALER,2020,73272,17078.0,1223.0,0.0,10.0,23.307675510426904,Rendah
BABAKAN CIPARAY,2023,140616,38230.0,3997.0,51.0,17.0,27.187517778915627,Tinggi
BABAKAN CIPARAY,2016,132363,36776.0,3752.0,0.0,17.0,27.784199511948206,Tinggi
BANDUNG WETAN,2017,28873,6719.0,1052.0,0.0,17.0,23.270875904824575,Rendah
CIBEUNYING KIDUL,2018,116097,29003.0,1599.0,5.0,14.0,24.981696340129375,Sedang
SUKAJADI,2020,105219,27039.0,2272.0,0.0,21.0,25.697830239785592,Sedang
KIARACONDONG,2016,131985,33603.0,1115.0,0.0,14.0,25.459711330833052,Sedang
ARCAMANIK,2020,79357,18545.0,2003.0,0.0,18.0,23.369078972239375,Rendah
CINAMBO,2024,27112,7594.0,160.0,16.0,1.0,28.009737385659488,Tinggi
RANCASARI,2025,93441,23644.0,603.0,39.0,9.0,25.303667554927706,Sedang
CIBEUNYING KIDUL,2018,109021,31262.0,1741.0,5.0,15.0,28.67520936333367,Tinggi
CIBEUNYING KIDUL,2025,117716,28014.0,3794.0,70.0,17.0,23.79795439872235,Rendah
SUKAJADI,2015,97851,27553.0,1613.0,0.0,25.0,28.158117954849722,Tinggi
CIBEUNYING KALER,2022,73012,16187.0,2510.0,34.0,10.0,22.170328165233112,Rendah
PANYILEUKAN,2020,38242,9727.0,619.0,0.0,7.0,25.435385178599446,Sedang
BANDUNG KULON,2022,138580,42964.0,3234.0,41.0,27.0,31.003030740366576,Tinggi
PANYILEUKAN,2017,38705,9367.0,621.0,0.0,8.0,24.201007621754293,Sedang
BUAHBATU,2019,99331,27579.0,2896.0,14.0,12.0,27.764746151755244,Tinggi
ASTANAANYAR,2019,73897,19738.0,2748.0,8.0,15.0,26.710150615045265,Sedang
BATUNUNGGAL,2017,114018,29442.0,1085.0,0.0,16.0,25.822238593906228,Sedang
BOJONGLOA KALER,2021,128053,36304.0,1280.0,36.0,11.0,28.35076101301805,Tinggi
SUMUR BANDUNG,2025,39229,10462.0,470.0,18.0,12.0,26.669045858930897,Sedang
CIDADAP,2019,54622,15235.0,1211.0,10.0,14.0,27.89169199223756,Tinggi
ARCAMANIK,2020,76883,18435.0,2075.0,0.0,18.0,23.97799253411027,Rendah
CIBEUNYING KIDUL,2021,118382,29050.0,1976.0,67.0,14.0,24.539203595141153,Sedang
BATUNUNGGAL,2025,124625,30420.0,2695.0,50.0,16.0,24.40922768304915,Sedang
CIBEUNYING KALER,2021,68861,17352.0,1293.0,40.0,9.0,25.19858846081236,Sedang
KIARACONDONG,2025,132427,38250.0,3030.0,50.0,16.0,28.883837888043978,Tinggi
ANDIR,2025,99617,24525.0,1558.0,45.0,22.0,24.619291887930775,Sedang
GEDEBAGE,2022,40536,12563.0,1604.0,27.0,6.0,30.99220446023288,Tinggi
LENGKONG,2020,68194,15300.0,1617.0,0.0,24.0,22.435991436196733,Rendah
CICENDO,2025,95778,24137.0,3768.0,44.0,24.0,25.20098561256238,Sedang
KIARACONDONG,2017,134168,32606.0,1275.0,0.0,15.0,24.302367181444158,Sedang
GEDEBAGE,2022,41696,11782.0,1680.0,20.0,7.0,28.256907137375286,Tinggi
MANDALAJATI,2017,64814,20174.0,1606.0,0.0,14.0,31.12599129817632,Tinggi
COBLONG,2023,119072,30730.0,2910.0,60.0,20.0,25.807914539102395,Sedang
SUKAJADI,2015,97681,25549.0,1739.0,0.0,22.0,26.15554713813331,Sedang
LENGKONG,2018,67822,15808.0,2127.0,5.0,22.0,23.308071127362805,Rendah
BANDUNG WETAN,2021,30250,6489.0,819.0,20.0,17.0,21.451239669421486,Rendah
REGOL,2020,80865,18031.0,2104.0,0.0,20.0,22.29765658814073,Rendah
BABAKAN CIPARAY,2024,149963,39738.0,2888.0,55.0,18.0,26.498536305622057,Sedang
ANDIR,2016,99585,25643.0,3446.0,0.0,23.0,25.749861926997035,Sedang
REGOL,2024,83978,19239.0,1301.0,48.0,22.0,22.90957155445474,Rendah
CIBEUNYING KALER,2017,70358,17171.0,1459.0,2.0,10.0,24.405184911452853,Sedang
RANCASARI,2019,80317,23428.0,1379.0,12.0,7.0,29.169416188353647,Tinggi
BANDUNG WETAN,2017,27222,6556.0,1115.0,0.0,17.0,24.083461905811475,Sedang
CIBEUNYING KIDUL,2020,114883,30450.0,1904.0,0.0,17.0,26.505227057092867,Sedang
BUAHBATU,2022,101162,26125.0,1182.0,47.0,13.0,25.82491449358455,Sedang
MANDALAJATI,2022,76159,21539.0,2492.0,31.0,13.0,28.281621344818074,Tinggi
CICENDO,2017,95030,22000.0,4898.0,0.0,28.0,23.15058402609702,Rendah
GEDEBAGE,2023,45106,11406.0,855.0,28.0,8.0,25.287101494257968,Sedang
SUKASARI,2023,75297,20086.0,1858.0,37.0,23.0,26.675697570952362,Sedang
CINAMBO,2025,27393,7142.0,172.0,22.0,2.0,26.072354251086043,Sedang
BABAKAN CIPARAY,2018,131610,41178.0,3529.0,6.0,17.0,31.287896056530656,Tinggi
BATUNUNGGAL,2023,117049,28305.0,3093.0,38.0,15.0,24.182180112602413,Sedang
CINAMBO,2018,23897,7115.0,1043.0,0.0,1.0,29.773611750428923,Tinggi
BOJONGLOA KALER,2023,131591,37676.0,2681.0,35.0,11.0,28.631137387815276,Tinggi
MANDALAJATI,2016,68630,17930.0,1594.0,0.0,14.0,26.125601049103892,Sedang
KIARACONDONG,2020,133202,34019.0,2449.0,0.0,15.0,25.539406315220493,Sedang
BOJONGLOA KIDUL,2018,86856,24362.0,1025.0,2.0,13.0,28.04872432532007,Tinggi
BUAHBATU,2016,93265,23014.0,3917.0,0.0,12.0,24.675923443950033,Sedang
SUMUR BANDUNG,2016,32046,6578.0,1466.0,0.0,14.0,20.526742807214628,Rendah
SUMUR BANDUNG,2023,37719,9770.0,743.0,17.0,13.0,25.902065272144014,Sedang
SUMUR BANDUNG,2018,35549,7723.0,1235.0,1.0,13.0,21.72494303637233,Rendah
CIBEUNYING KIDUL,2025,119233,29650.0,3445.0,71.0,17.0,24.86727667675895,Sedang
CINAMBO,2015,22742,6294.0,1231.0,0.0,1.0,27.675666168322927,Tinggi
UJUNG BERUNG,2024,92574,28770.0,1693.0,59.0,9.0,31.077840430358417,Tinggi
BUAHBATU,2024,102252,30642.0,580.0,53.0,15.0,29.967140007041426,Tinggi
BUAHBATU,2015,97406,25143.0,3686.0,0.0,13.0,25.81257828059873,Sedang
SUMUR BANDUNG,2022,38814,9500.0,2249.0,12.0,13.0,24.475704642654712,Sedang
LENGKONG,2025,72392,16164.0,1065.0,33.0,22.0,22.328434081113933,Rendah
COBLONG,2017,113245,28457.0,3405.0,0.0,19.0,25.1287032540068,Sedang
PANYILEUKAN,2021,41897,11341.0,556.0,26.0,9.0,27.06876387330835,Tinggi
GEDEBAGE,2021,39559,11446.0,590.0,26.0,7.0,28.933997320458047,Tinggi
BOJONGLOA KALER,2015,124370,33847.0,1260.0,0.0,10.0,27.21476240250864,Tinggi
COBLONG,2018,108642,27073.0,3923.0,8.0,22.0,24.919460245577216,Sedang
CINAMBO,2020,26417,6323.0,600.0,0.0,2.0,23.935344664420636,Rendah
BOJONGLOA KALER,2017,125926,34754.0,1338.0,0.0,11.0,27.59874847132443,Tinggi
UJUNG BERUNG,2020,86328,25385.0,1561.0,0.0,7.0,29.40529144657585,Tinggi
SUKASARI,2025,78090,19926.0,1864.0,49.0,22.0,25.516711486746065,Sedang
ASTANAANYAR,2016,77060,19357.0,3186.0,0.0,13.0,25.119387490267325,Sedang
CICENDO,2025,97744,21491.0,3532.0,38.0,29.0,21.98702733671632,Rendah
GEDEBAGE,2020,40288,11569.0,554.0,0.0,6.0,28.715746624305005,Tinggi
CIBEUNYING KIDUL,2021,113468,28086.0,1758.0,54.0,14.0,24.75235308633271,Sedang
PANYILEUKAN,2025,43634,10840.0,608.0,26.0,9.0,24.843012329834533,Sedang
ASTANAANYAR,2022,75551,18667.0,1752.0,21.0,17.0,24.707813265211577,Sedang
LENGKONG,2016,72588,16175.0,2572.0,0.0,20.0,22.28329751474073,Rendah
BANDUNG KULON,2019,127244,38524.0,1561.0,19.0,27.0,30.275690798780296,Tinggi
BANDUNG KULON,2025,136483,41812.0,4521.0,55.0,24.0,30.635317218994306,Tinggi
ASTANAANYAR,2015,69629,20761.0,3743.0,0.0,16.0,29.816599405420156,Tinggi
BANDUNG KIDUL,2025,60752,15010.0,771.0,26.0,9.0,24.707005530682117,Sedang
REGOL,2018,79966,21508.0,2531.0,3.0,23.0,26.896430983167846,Sedang
CIDADAP,2023,56182,14944.0,1856.0,27.0,13.0,26.599266669039906,Sedang
BATUNUNGGAL,2018,115942,28366.0,1191.0,3.0,16.0,24.465681116420278,Sedang
ARCAMANIK,2015,72791,16676.0,3530.0,0.0,13.0,22.909425615804153,Rendah
UJUNG BERUNG,2020,87086,24065.0,1392.0,0.0,8.0,27.63360356429277,Tinggi
COBLONG,2023,117068,27817.0,3199.0,60.0,23.0,23.761403628660265,Rendah
ANDIR,2018,101854,26374.0,2774.0,4.0,25.0,25.893926600820784,Sedang
RANCASARI,2021,85183,23893.0,1013.0,45.0,9.0,28.049023866264395,Tinggi
BANDUNG WETAN,2025,28345,7031.0,499.0,23.0,15.0,24.80508026106897,Sedang
SUKASARI,2017,76117,19212.0,1668.0,0.0,19.0,25.240090912673914,Sedang
PANYILEUKAN,2017,37377,9613.0,549.0,0.0,8.0,25.719025068892638,Sedang
CIBEUNYING KIDUL,2019,106165,29381.0,1844.0,16.0,15.0,27.67484575896011,Tinggi
ARCAMANIK,2025,87134,21415.0,1104.0,48.0,19.0,24.577088163059198,Sedang
CICENDO,2024,97402,21671.0,3811.0,46.0,26.0,22.249029794049406,Rendah
BANDUNG KIDUL,2020,57308,14795.0,988.0,0.0,10.0,25.816639910658196,Sedang
SUKASARI,2018,80538,18185.0,2007.0,4.0,23.0,22.57940351138593,Rendah
SUKASARI,2020,81108,19105.0,1573.0,0.0,20.0,23.555013068994427,Rendah
BANDUNG WETAN,2025,30920,6908.0,606.0,23.0,17.0,22.341526520051747,Rendah
BABAKAN CIPARAY,2015,131707,38004.0,3811.0,0.0,18.0,28.85495835452937,Tinggi
BANDUNG WETAN,2023,28101,6919.0,1450.0,20.0,18.0,24.621899576527525,Sedang
BABAKAN CIPARAY,2017,130610,38493.0,4020.0,0.0,20.0,29.471709670009954,Tinggi
MANDALAJATI,2016,65796,19871.0,1835.0,0.0,13.0,30.20092406833242,Tinggi
SUMUR BANDUNG,2017,33179,7350.0,1131.0,0.0,14.0,22.15256638235028,Rendah
BATUNUNGGAL,2015,123873,32361.0,661.0,0.0,16.0,26.12433702259572,Sedang
BABAKAN CIPARAY,2020,142800,38846.0,3438.0,0.0,18.0,27.203081232493,Tinggi
COBLONG,2019,119098,27917.0,3456.0,19.0,21.0,23.440360039631226,Rendah
BOJONGLOA KIDUL,2018,85493,23144.0,1054.0,2.0,14.0,27.07122220532675,Tinggi
BANDUNG KIDUL,2021,60230,15646.0,1059.0,28.0,10.0,25.977087829985056,Sedang
SUKASARI,2024,77818,21275.0,1904.0,44.0,24.0,27.339433036058498,Tinggi
CICENDO,2015,98164,22245.0,4754.0,0.0,26.0,22.661057006641947,Rendah
ANTAPANI,2023,79754,19970.0,1400.0,47.0,15.0,25.039496451588633,Sedang
KIARACONDONG,2020,124078,34332.0,2351.0,0.0,17.0,27.66969164557778,Tinggi
ARCAMANIK,2022,81452,21066.0,3064.0,41.0,19.0,25.863085007120755,Sedang
SUKASARI,2019,80796,17812.0,2022.0,11.0,22.0,22.0456458240507,Rendah
ARCAMANIK,2019,71662,17817.0,2581.0,13.0,16.0,24.862549189249535,Sedang
ASTANAANYAR,2025,75792,18521.0,1201.0,22.0,17.0,24.436616001688833,Sedang
BANDUNG KULON,2025,133631,39111.0,4328.0,47.0,28.0,29.267909392281734,Tinggi
ARCAMANIK,2025,82621,21310.0,1119.0,56.0,21.0,25.792474068336134,Sedang
SUKAJADI,2024,109086,27083.0,2798.0,28.0,21.0,24.827200557358413,Sedang
MANDALAJATI,2021,71068,21431.0,1097.0,40.0,14.0,30.155625598018798,Tinggi
CIBIRU,2023,75325,21091.0,4356.0,57.0,14.0,28.000000000000004,Tinggi
RANCASARI,2025,85773,23448.0,613.0,44.0,9.0,27.337273967332376,Tinggi
BOJONGLOA KALER,2020,124847,32889.0,1246.0,0.0,12.0,26.34344437591612,Sedang
CIDADAP,2023,57278,14421.0,2031.0,27.0,15.0,25.177205908027517,Sedang
SUKAJADI,2022,100406,28077.0,3851.0,27.0,22.0,27.96346831862638,Tinggi
CINAMBO,2023,25121,7648.0,332.0,18.0,1.0,30.444647904143945,Tinggi
ARCAMANIK,2024,85608,21930.0,1041.0,51.0,19.0,25.616764788337537,Sedang
BOJONGLOA KIDUL,2018,85658,22167.0,1009.0,2.0,12.0,25.878493544093956,Sedang
SUKASARI,2017,75671,18687.0,1945.0,0.0,23.0,24.69506151630083,Sedang
BANDUNG KULON,2018,127259,39391.0,1113.0,9.0,29.0,30.95340997493301,Tinggi
SUKASARI,2016,74702,20083.0,1788.0,0.0,20.0,26.88415303472464,Sedang
ANDIR,2021,94939,26940.0,2523.0,45.0,24.0,28.37611518975342,Tinggi
BANDUNG KULON,2017,124857,39930.0,574.0,2.0,29.0,31.980585790143923,Tinggi
ARCAMANIK,2023,83329,20185.0,2931.0,56.0,21.0,24.223259609499696,Sedang
BUAHBATU,2017,97005,27658.0,3549.0,0.0,12.0,28.511932374619864,Tinggi
BANDUNG WETAN,2018,28847,6809.0,1022.0,0.0,15.0,23.603840953998684,Rendah
LENGKONG,2025,74421,18248.0,1059.0,40.0,22.0,24.519960763762917,Sedang
BUAHBATU,2020,98542,26558.0,2350.0,0.0,12.0,26.950944774816833,Sedang
PANYILEUKAN,2023,42207,10575.0,989.0,27.0,9.0,25.05508564929988,Sedang
GEDEBAGE,2024,45605,11111.0,382.0,26.0,7.0,24.36355662756277,Sedang
GEDEBAGE,2017,38349,10998.0,1092.0,0.0,6.0,28.678713916920913,Tinggi
CIBIRU,2017,66552,18381.0,2581.0,0.0,13.0,27.61900468806347,Tinggi
BOJONGLOA KALER,2020,120685,34865.0,1302.0,0.0,11.0,28.88925715706177,Tinggi
BUAHBATU,2015,93206,25024.0,4302.0,0.0,14.0,26.848056992039137,Sedang
CIBIRU,2025,80492,20630.0,835.0,46.0,14.0,25.629876260994884,Sedang
MANDALAJATI,2022,70388,21179.0,2426.0,31.0,13.0,30.088935614025118,Tinggi
CINAMBO,2022,25765,7225.0,882.0,13.0,3.0,28.04191732971085,Tinggi
ANDIR,2018,93705,28494.0,3202.0,5.0,23.0,30.408195934048344,Tinggi
COBLONG,2025,116027,25858.0,2936.0,54.0,21.0,22.286192007032845,Rendah
SUKASARI,2015,71954,19041.0,1831.0,0.0,20.0,26.46274008394252,Sedang
BOJONGLOA KALER,2015,126813,33692.0,1334.0,0.0,10.0,26.56825404335518,Sedang
BANDUNG KIDUL,2020,61485,15353.0,1145.0,0.0,9.0,24.97031796373099,Sedang
CICENDO,2022,92979,24806.0,3007.0,31.0,27.0,26.67914260209295,Sedang
PANYILEUKAN,2016,38742,10769.0,569.0,0.0,8.0,27.796706416808632,Tinggi
ANDIR,2015,100972,25747.0,3257.0,0.0,24.0,25.499148278730736,Sedang
REGOL,2017,76314,20267.0,2530.0,0.0,21.0,26.55738134549362,Sedang
SUKAJADI,2024,106212,25156.0,2783.0,36.0,20.0,23.684706059578957,Rendah
ASTANAANYAR,2021,71098,19209.0,2280.0,25.0,15.0,27.017637626937468,Tinggi
KIARACONDONG,2022,125499,38827.0,1123.0,41.0,18.0,30.93809512426394,Tinggi
BUAHBATU,2017,99947,24161.0,3646.0,0.0,12.0,24.173812120423825,Sedang
ARCAMANIK,2020,80613,19652.0,1904.0,0.0,18.0,24.378202026968353,Sedang
UJUNG BERUNG,2016,77091,21491.0,1526.0,0.0,6.0,27.87744354075054,Tinggi
BOJONGLOA KALER,2025,129360,34321.0,1126.0,42.0,12.0,26.531385281385283,Sedang
BOJONGLOA KIDUL,2020,85805,24600.0,939.0,0.0,14.0,28.669657945341182,Tinggi
BANDUNG WETAN,2019,30010,6961.0,1166.0,4.0,18.0,23.19560146617794,Rendah
REGOL,2018,78593,20382.0,2738.0,3.0,23.0,25.93360731871795,Sedang
BANDUNG KIDUL,2020,62221,15616.0,975.0,0.0,9.0,25.09763584641841,Sedang
BUAHBATU,2020,103073,24247.0,2203.0,0.0,14.0,23.524104275610487,Rendah
CIBEUNYING KALER,2024,68759,18093.0,1256.0,33.0,10.0,26.313646213586583,Sedang
ASTANAANYAR,2018,73515,18938.0,2907.0,5.0,15.0,25.76072910290417,Sedang
REGOL,2023,80013,20132.0,2486.0,40.0,23.0,25.160911351905312,Sedang
PANYILEUKAN,2017,37985,9722.0,551.0,0.0,7.0,25.594313544820324,Sedang
KIARACONDONG,2023,134378,35339.0,1771.0,57.0,17.0,26.298203574989955,Sedang
KIARACONDONG,2023,132228,38497.0,1717.0,51.0,18.0,29.114105938227908,Tinggi
GEDEBAGE,2015,36652,11691.0,1221.0,0.0,6.0,31.89730437629597,Tinggi
UJUNG BERUNG,2017,80158,24143.0,1595.0,0.0,6.0,30.119264452705906,Tinggi
PANYILEUKAN,2020,40173,9822.0,552.0,0.0,7.0,24.44925696363229,Sedang
LENGKONG,2017,72118,17322.0,2307.0,0.0,23.0,24.01896891206079,Sedang
BABAKAN CIPARAY,2020,143900,38638.0,3744.0,0.0,18.0,26.85059068797776,Sedang
BANDUNG WETAN,2018,27148,6138.0,1195.0,0.0,16.0,22.60940032414911,Rendah
UJUNG BERUNG,2022,89313,27155.0,2904.0,43.0,7.0,30.404308443339715,Tinggi
SUMUR BANDUNG,2019,34828,7611.0,1149.0,4.0,13.0,21.85310669576203,Rendah
LENGKONG,2022,71998,17216.0,2220.0,30.0,23.0,23.911775327092418,Rendah
BANDUNG WETAN,2018,29070,6857.0,1062.0,0.0,17.0,23.587891296869625,Rendah
COBLONG,2024,116271,26898.0,3268.0,59.0,20.0,23.13388549165312,Rendah
GEDEBAGE,2019,38830,11967.0,964.0,7.0,7.0,30.818954416688126,Tinggi
SUMUR BANDUNG,2023,38474,10233.0,690.0,18.0,15.0,26.59718251286583,Sedang
CINAMBO,2021,26011,7412.0,532.0,19.0,2.0,28.49563646149706,Tinggi
BATUNUNGGAL,2018,125968,29977.0,1192.0,3.0,14.0,23.797313603454846,Rendah
ANDIR,2019,104231,27294.0,2956.0,12.0,22.0,26.186067484721438,Sedang
CINAMBO,2015,22467,6040.0,1189.0,0.0,1.0,26.883874126496636,Sedang
BOJONGLOA KALER,2018,124126,35066.0,1260.0,4.0,11.0,28.25032628135926,Tinggi
BOJONGLOA KIDUL,2019,84000,25347.0,1150.0,6.0,12.0,30.175,Tinggi
ASTANAANYAR,2022,70481,20254.0,1686.0,23.0,14.0,28.736822689802928,Tinggi
BANDUNG KULON,2021,139007,42786.0,2053.0,60.0,24.0,30.779744904932844,Tinggi
LENGKONG,2020,70082,16480.0,1563.0,0.0,23.0,23.515310636111984,Rendah
RANCASARI,2021,84756,21461.0,1021.0,36.0,8.0,25.320921232715087,Sedang
BOJONGLOA KALER,2015,118657,35148.0,1222.0,0.0,10.0,29.621514112104634,Tinggi
BANDUNG KIDUL,2021,62949,16632.0,957.0,29.0,9.0,26.42138874326836,Sedang
KIARACONDONG,2017,123369,34542.0,1168.0,0.0,17.0,27.99893003915084,Tinggi
GEDEBAGE,2023,44652,12306.0,863.0,29.0,7.0,27.559795753829615,Tinggi
UJUNG BERUNG,2017,84064,22167.0,1602.0,0.0,6.0,26.369194899124476,Sedang
MANDALAJATI,2021,74199,21961.0,1109.0,37.0,14.0,29.597433927680967,Tinggi
BOJONGLOA KIDUL,2018,83662,23044.0,1042.0,3.0,12.0,27.54416581004518,Tinggi
SUKAJADI,2021,99470,29355.0,1986.0,31.0,23.0,29.511410475520254,Tinggi
GEDEBAGE,2017,37595,11558.0,1003.0,0.0,6.0,30.743449926851973,Tinggi
ANDIR,2025,100955,24972.0,1546.0,37.0,24.0,24.735773364370264,Sedang
ANTAPANI,2017,73802,20141.0,2269.0,0.0,13.0,27.290588330939542,Tinggi
BATUNUNGGAL,2016,113821,30417.0,860.0,0.0,15.0,26.723539592869507,Sedang
LENGKONG,2017,71175,16982.0,2440.0,0.0,21.0,23.859501229364245,Rendah
CINAMBO,2021,24196,6746.0,533.0,18.0,2.0,27.880641428335263,Tinggi
BATUNUNGGAL,2023,124901,32486.0,2733.0,43.0,16.0,26.009399444359932,Sedang
RANCASARI,2017,80277,19700.0,1538.0,0.0,6.0,24.54003014562079,Sedang
SUKASARI,2019,75102,20029.0,1882.0,11.0,19.0,26.66906340709968,Sedang
CIBEUNYING KALER,2020,67133,15482.0,1188.0,0.0,10.0,23.06168352375136,Rendah
BUAHBATU,2015,92701,23722.0,4261.0,0.0,13.0,25.589799462788964,Sedang
UJUNG BERUNG,2023,92595,27258.0,1739.0,53.0,10.0,29.43787461526,Tinggi
BATUNUNGGAL,2016,123141,31312.0,755.0,0.0,14.0,25.427761671579734,Sedang
BANDUNG KIDUL,2020,62601,14715.0,1045.0,0.0,10.0,23.50601428092203,Rendah
ANTAPANI,2020,75515,20653.0,1648.0,0.0,14.0,27.349533205323446,Tinggi
BOJONGLOA KALER,2024,123220,36505.0,1011.0,38.0,11.0,29.625872423307904,Tinggi
KIARACONDONG,2024,132867,33912.0,2835.0,59.0,18.0,25.52326762853079,Sedang
ASTANAANYAR,2025,72689,18794.0,1261.0,23.0,14.0,25.855356381295657,Sedang
SUKAJADI,2022,102595,27713.0,3435.0,26.0,21.0,27.01203762366587,Tinggi
REGOL,2021,81244,18925.0,2242.0,42.0,22.0,23.294027866673233,Rendah
COBLONG,2018,112359,26740.0,3482.0,8.0,19.0,23.798716613711406,Rendah
CINAMBO,2023,24823,6986.0,332.0,20.0,1.0,28.14325424001934,Tinggi
ANTAPANI,2023,84729,19491.0,1550.0,45.0,17.0,23.003930177389087,Rendah
ARCAMANIK,2018,75996,20714.0,3022.0,4.0,16.0,27.25669772093268,Tinggi
CIBIRU,2021,78475,21287.0,1410.0,44.0,15.0,27.125836253583945,Tinggi
UJUNG BERUNG,2023,95191,27762.0,1607.0,66.0,10.0,29.164521856057817,Tinggi
COBLONG,2025,119924,27227.0,2963.0,54.0,21.0,22.703545578866617,Rendah
ANDIR,2015,94740,29144.0,3398.0,0.0,25.0,30.762085708254165,Tinggi
ARCAMANIK,2025,87102,22357.0,1145.0,53.0,21.0,25.667608091662647,Sedang
CIBEUNYING KIDUL,2018,113797,28620.0,1647.0,5.0,14.0,25.150047892299444,Sedang
CIBEUNYING KIDUL,2017,112920,31766.0,1193.0,0.0,14.0,28.131420474672336,Tinggi
ASTANAANYAR,2020,70965,17046.0,2102.0,0.0,15.0,24.02029169308814,Sedang
GEDEBAGE,2017,38696,11905.0,972.0,0.0,5.0,30.765453793673764,Tinggi
SUMUR BANDUNG,2018,34260,7505.0,1108.0,1.0,14.0,21.90601284296556,Rendah
LENGKONG,2020,70846,16339.0,1706.0,0.0,23.0,23.062699376111567,Rendah
BANDUNG KIDUL,2024,60809,14996.0,785.0,29.0,9.0,24.66082323340295,Sedang
CICENDO,2024,93791,23840.0,3515.0,38.0,25.0,25.418217099721723,Sedang
REGOL,2018,77234,19864.0,2785.0,3.0,22.0,25.71924282051946,Sedang
UJUNG BERUNG,2021,91503,26230.0,1627.0,58.0,7.0,28.665726806771364,Tinggi
SUKASARI,2019,75113,19995.0,1980.0,11.0,22.0,26.619892695006193,Sedang
LENGKONG,2015,71991,17024.0,2836.0,0.0,20.0,23.647400369490633,Rendah
SUKAJADI,2022,102564,25772.0,3874.0,27.0,21.0,25.127725127725125,Sedang
BOJONGLOA KALER,2019,122069,36007.0,1134.0,8.0,10.0,29.49725155444871,Tinggi
BABAKAN CIPARAY,2017,134853,36054.0,3833.0,0.0,19.0,26.73577895931125,Sedang
CIBIRU,2019,68542,19549.0,2489.0,13.0,15.0,28.52119868110064,Tinggi
CICENDO,2020,92005,23115.0,4226.0,0.0,27.0,25.1236345850769,Sedang
MANDALAJATI,2015,64341,17506.0,1523.0,0.0,14.0,27.208156540930357,Tinggi
MANDALAJATI,2020,69387,20788.0,1177.0,0.0,14.0,29.95950250046839,Tinggi
BOJONGLOA KIDUL,2018,82171,22174.0,1073.0,2.0,13.0,26.985189422058873,Sedang
KIARACONDONG,2023,135331,38759.0,1802.0,48.0,17.0,28.640148968085654,Tinggi
RANCASARI,2021,87468,22391.0,982.0,39.0,8.0,25.599076233593998,Sedang
ARCAMANIK,2018,76190,20540.0,2970.0,5.0,18.0,26.95891849324058,Sedang
BATUNUNGGAL,2019,120313,31522.0,1408.0,10.0,16.0,26.199995013007737,Sedang
KIARACONDONG,2019,126228,34664.0,1550.0,14.0,16.0,27.46141901955192,Tinggi
COBLONG,2016,114639,31201.0,3447.0,0.0,20.0,27.216741248615218,Tinggi
CIBEUNYING KALER,2018,70582,17574.0,1606.0,7.0,10.0,24.89869938511235,Sedang
BABAKAN CIPARAY,2022,149958,41887.0,1439.0,40.0,17.0,27.932487763240378,Tinggi
CICENDO,2024,94799,23801.0,3627.0,42.0,28.0,25.106804924102576,Sedang
CIBEUNYING KIDUL,2023,114003,32422.0,3321.0,63.0,16.0,28.439602466601755,Tinggi
GEDEBAGE,2018,38623,10830.0,938.0,3.0,6.0,28.04028687569583,Tinggi
BABAKAN CIPARAY,2018,140575,39614.0,3837.0,7.0,19.0,28.17997510225858,Tinggi
BABAKAN CIPARAY,2015,133327,35070.0,4166.0,0.0,20.0,26.303749428097834,Sedang
ANDIR,2023,101584,27145.0,3125.0,46.0,25.0,26.721727831154514,Sedang
